Kategorie: Alle Kategorien

Tag,Hunde: (Deutschland)
2023-07-25,74
2023-07-26,74
2023-07-27,78
2023-07-28,78
2023-07-29,90
2023-07-30,99
2023-07-31,78
2023-08-01,76
2023-08-02,73
2023-08-03,72
2023-08-04,82
2023-08-05,95
2023-08-06,92
2023-08-07,77
2023-08-08,76
2023-08-09,81
2023-08-10,77
2023-08-11,81
2023-08-12,89
2023-08-13,100
2023-08-14,82
2023-08-15,80
2023-08-16,78
2023-08-17,80
2023-08-18,84
2023-08-19,96
2023-08-20,97
2023-08-21,81
2023-08-22,80
2023-08-23,80
2023-08-24,74
2023-08-25,74
2023-08-26,91
2023-08-27,92
2023-08-28,80
2023-08-29,66
2023-08-30,73
2023-08-31,72
2023-09-01,75
2023-09-02,87
2023-09-03,95
2023-09-04,71
2023-09-05,67
2023-09-06,74
2023-09-07,71
2023-09-08,75
2023-09-09,91
2023-09-10,97
2023-09-11,71
2023-09-12,72
2023-09-13,68
2023-09-14,73
2023-09-15,71
2023-09-16,92
2023-09-17,96
2023-09-18,87
2023-09-19,73
2023-09-20,72
2023-09-21,64
2023-09-22,70
2023-09-23,88
2023-09-24,91
2023-09-25,71
2023-09-26,68
2023-09-27,69
2023-09-28,67
2023-09-29,71
2023-09-30,88
2023-10-01,93
2023-10-02,81
2023-10-03,84
2023-10-04,67
2023-10-05,79
2023-10-06,71
2023-10-07,90
2023-10-08,86
2023-10-09,63
2023-10-10,69
2023-10-11,72
2023-10-12,70
2023-10-13,74
2023-10-14,86
2023-10-15,83
2023-10-16,69
2023-10-17,68
2023-10-18,68
2023-10-19,68
2023-10-20,70
2023-10-21,87
