Date,"Israel"
2023-07-26,2734
2023-07-27,1966
2023-07-28,1748
2023-07-29,1915
2023-07-30,2945
2023-07-31,1949
2023-08-01,1989
2023-08-02,1845
2023-08-03,1788
2023-08-04,1564
2023-08-05,1587
2023-08-06,1980
2023-08-07,1768
2023-08-08,1550
2023-08-09,1567
2023-08-10,1423
2023-08-11,1274
2023-08-12,1381
2023-08-13,1975
2023-08-14,1401
2023-08-15,1925
2023-08-16,2060
2023-08-17,2312
2023-08-18,1920
2023-08-19,1583
2023-08-20,1791
2023-08-21,1549
2023-08-22,1490
2023-08-23,1946
2023-08-24,1492
2023-08-25,2175
2023-08-26,2023
2023-08-27,2063
2023-08-28,1830
2023-08-29,1744
2023-08-30,1446
2023-08-31,1548
2023-09-01,1375
2023-09-02,1414
2023-09-03,1594
2023-09-04,1591
2023-09-05,1967
2023-09-06,1686
2023-09-07,1470
2023-09-08,1297
2023-09-09,1606
2023-09-10,1947
2023-09-11,1643
2023-09-12,2252
2023-09-13,2101
2023-09-14,1567
2023-09-15,1434
2023-09-16,1324
2023-09-17,1718
2023-09-18,1891
2023-09-19,1652
2023-09-20,1612
2023-09-21,1508
2023-09-22,1558
2023-09-23,1505
2023-09-24,2025
2023-09-25,1717
2023-09-26,1593
2023-09-27,1416
2023-09-28,1736
2023-09-29,1401
2023-09-30,1437
2023-10-01,2264
2023-10-02,1745
2023-10-03,1828
2023-10-04,1532
2023-10-05,1628
2023-10-06,1911
2023-10-07,112673
2023-10-08,187168
2023-10-09,233718
2023-10-10,187673
2023-10-11,148407
2023-10-12,118887
2023-10-13,110031
2023-10-14,109633
2023-10-15,117901
2023-10-16,75477
2023-10-17,61076
2023-10-18,63839
2023-10-19,54317
2023-10-20,47638
2023-10-21,37385
2023-10-22,42199
2023-10-23,31583
2023-10-24,28272
