input,output
"[1556.0, 174.0, 22.0, 44.0, 108.0, 221.0, 4378.0, 228.0, 186.0, 37.0, 8.0, 1003.0, 522.0, 101.0, 22.0, 133.0, 40.0, 57.0, 36.0, 0.0, 15.0, 61.0, 1718.0, 89.0, 53.0, 989.0, 26.0, 238.0, 84.0, 0.0]",684.0
"[1981.0, 159.0, 28.0, 70.0, 115.0, 179.0, 4792.0, 200.0, 226.0, 31.0, 4.0, 1033.0, 468.0, 137.0, 18.0, 90.0, 25.0, 48.0, 42.0, 0.0, 17.0, 102.0, 1589.0, 86.0, 46.0, 1026.0, 40.0, 326.0, 57.0, 0.0]",577.0
"[1800.0, 96.0, 19.0, 67.0, 79.0, 174.0, 4872.0, 161.0, 209.0, 14.0, 3.0, 736.0, 422.0, 111.0, 26.0, 73.0, 19.0, 63.0, 20.0, 0.0, 8.0, 160.0, 1440.0, 58.0, 31.0, 985.0, 50.0, 321.0, 57.0, 0.0]",537.0
"[1715.0, 119.0, 20.0, 76.0, 88.0, 182.0, 5710.0, 160.0, 191.0, 27.0, 2.0, 673.0, 454.0, 115.0, 36.0, 78.0, 19.0, 44.0, 17.0, 0.0, 14.0, 354.0, 1424.0, 53.0, 40.0, 1395.0, 27.0, 270.0, 60.0, 0.0]",465.0
"[1776.0, 114.0, 39.0, 75.0, 107.0, 177.0, 4933.0, 188.0, 159.0, 19.0, 5.0, 681.0, 434.0, 97.0, 38.0, 89.0, 24.0, 52.0, 8.0, 0.0, 14.0, 1601.0, 1518.0, 63.0, 52.0, 1046.0, 44.0, 295.0, 65.0, 0.0]",527.0
"[1481.0, 140.0, 29.0, 78.0, 118.0, 224.0, 4259.0, 175.0, 162.0, 30.0, 5.0, 631.0, 463.0, 111.0, 23.0, 131.0, 44.0, 55.0, 21.0, 0.0, 23.0, 19841.0, 1758.0, 82.0, 35.0, 904.0, 33.0, 325.0, 87.0, 0.0]",809.0
"[1526.0, 145.0, 19.0, 68.0, 119.0, 204.0, 4726.0, 189.0, 198.0, 38.0, 7.0, 673.0, 495.0, 92.0, 28.0, 120.0, 20.0, 57.0, 22.0, 0.0, 10.0, 1451.0, 1649.0, 64.0, 40.0, 791.0, 38.0, 299.0, 79.0, 0.0]",557.0
"[1549.0, 180.0, 35.0, 62.0, 129.0, 664.0, 5159.0, 364.0, 140.0, 36.0, 3.0, 848.0, 497.0, 81.0, 34.0, 104.0, 32.0, 67.0, 15.0, 0.0, 8.0, 280.0, 1620.0, 92.0, 31.0, 818.0, 42.0, 558.0, 85.0, 0.0]",498.0
"[1689.0, 117.0, 25.0, 68.0, 126.0, 322.0, 5236.0, 212.0, 213.0, 19.0, 5.0, 952.0, 545.0, 141.0, 27.0, 105.0, 25.0, 76.0, 34.0, 0.0, 10.0, 190.0, 1576.0, 68.0, 37.0, 920.0, 37.0, 336.0, 64.0, 0.0]",486.0
"[1727.0, 143.0, 38.0, 131.0, 125.0, 273.0, 4815.0, 199.0, 254.0, 20.0, 5.0, 768.0, 550.0, 153.0, 27.0, 106.0, 26.0, 66.0, 26.0, 0.0, 8.0, 152.0, 1687.0, 67.0, 41.0, 1071.0, 37.0, 351.0, 54.0, 0.0]",493.0
"[1583.0, 136.0, 26.0, 76.0, 101.0, 190.0, 4433.0, 206.0, 206.0, 35.0, 9.0, 675.0, 507.0, 128.0, 28.0, 98.0, 36.0, 68.0, 29.0, 0.0, 18.0, 110.0, 1478.0, 59.0, 41.0, 984.0, 25.0, 296.0, 67.0, 0.0]",485.0
"[1565.0, 127.0, 28.0, 74.0, 85.0, 221.0, 4465.0, 184.0, 235.0, 29.0, 8.0, 694.0, 513.0, 119.0, 33.0, 106.0, 38.0, 55.0, 32.0, 0.0, 17.0, 70.0, 1612.0, 54.0, 39.0, 950.0, 39.0, 287.0, 75.0, 0.0]",553.0
"[1679.0, 118.0, 28.0, 58.0, 89.0, 236.0, 4274.0, 164.0, 230.0, 19.0, 7.0, 744.0, 510.0, 115.0, 23.0, 95.0, 31.0, 53.0, 24.0, 0.0, 11.0, 73.0, 1682.0, 70.0, 43.0, 885.0, 40.0, 272.0, 71.0, 0.0]",556.0
"[1550.0, 114.0, 24.0, 81.0, 87.0, 200.0, 4367.0, 270.0, 206.0, 40.0, 5.0, 829.0, 638.0, 147.0, 39.0, 87.0, 41.0, 48.0, 26.0, 0.0, 14.0, 52.0, 1777.0, 79.0, 59.0, 904.0, 53.0, 272.0, 65.0, 0.0]",805.0
"[1477.0, 174.0, 23.0, 60.0, 121.0, 170.0, 4212.0, 315.0, 194.0, 34.0, 10.0, 894.0, 608.0, 115.0, 32.0, 103.0, 32.0, 67.0, 11.0, 0.0, 16.0, 50.0, 1596.0, 83.0, 73.0, 807.0, 44.0, 258.0, 84.0, 0.0]",906.0
"[1832.0, 164.0, 31.0, 77.0, 93.0, 193.0, 5085.0, 327.0, 224.0, 22.0, 5.0, 1068.0, 564.0, 152.0, 43.0, 86.0, 42.0, 60.0, 24.0, 0.0, 16.0, 40.0, 1735.0, 65.0, 57.0, 810.0, 48.0, 279.0, 89.0, 0.0]",762.0
"[1564.0, 148.0, 28.0, 69.0, 93.0, 216.0, 4597.0, 230.0, 220.0, 24.0, 9.0, 839.0, 620.0, 130.0, 34.0, 115.0, 24.0, 46.0, 13.0, 0.0, 7.0, 41.0, 3400.0, 64.0, 60.0, 911.0, 29.0, 254.0, 81.0, 0.0]",552.0
"[1774.0, 113.0, 34.0, 92.0, 108.0, 165.0, 4310.0, 199.0, 258.0, 23.0, 3.0, 748.0, 593.0, 130.0, 50.0, 79.0, 23.0, 57.0, 19.0, 0.0, 11.0, 29.0, 3509.0, 57.0, 45.0, 989.0, 51.0, 222.0, 74.0, 0.0]",560.0
"[1676.0, 195.0, 15.0, 67.0, 76.0, 202.0, 4621.0, 183.0, 282.0, 30.0, 6.0, 868.0, 636.0, 103.0, 57.0, 71.0, 31.0, 52.0, 19.0, 0.0, 10.0, 27.0, 2956.0, 63.0, 39.0, 1030.0, 70.0, 214.0, 189.0, 0.0]",603.0
"[1591.0, 160.0, 28.0, 67.0, 100.0, 193.0, 4437.0, 161.0, 196.0, 13.0, 6.0, 732.0, 501.0, 116.0, 53.0, 95.0, 30.0, 50.0, 13.0, 0.0, 7.0, 31.0, 2492.0, 63.0, 47.0, 907.0, 60.0, 186.0, 66.0, 0.0]",514.0
