Date,"Künstliche Intelligenz"
2023-07-26,1336
2023-07-27,1368
2023-07-28,1236
2023-07-29,926
2023-07-30,1038
2023-07-31,1260
2023-08-01,1231
2023-08-02,1241
2023-08-03,1162
2023-08-04,1012
2023-08-05,839
2023-08-06,1073
2023-08-07,1139
2023-08-08,1193
2023-08-09,1262
2023-08-10,1177
2023-08-11,1049
2023-08-12,823
2023-08-13,932
2023-08-14,1230
2023-08-15,1221
2023-08-16,1300
2023-08-17,1272
2023-08-18,1282
2023-08-19,869
2023-08-20,984
2023-08-21,1314
2023-08-22,1414
2023-08-23,1329
2023-08-24,1358
2023-08-25,1152
2023-08-26,890
2023-08-27,1059
2023-08-28,1457
2023-08-29,1616
2023-08-30,1524
2023-08-31,1497
2023-09-01,1401
2023-09-02,972
2023-09-03,1001
2023-09-04,1217
2023-09-05,1572
2023-09-06,1479
2023-09-07,1417
2023-09-08,1215
2023-09-09,882
2023-09-10,984
2023-09-11,1582
2023-09-12,1427
2023-09-13,1579
2023-09-14,1472
2023-09-15,1303
2023-09-16,846
2023-09-17,964
2023-09-18,1554
2023-09-19,1576
2023-09-20,1466
2023-09-21,1536
2023-09-22,1466
2023-09-23,1101
2023-09-24,1048
2023-09-25,1799
2023-09-26,1880
2023-09-27,1909
2023-09-28,1731
2023-09-29,1377
2023-09-30,975
2023-10-01,979
2023-10-02,1131
2023-10-03,1185
2023-10-04,1466
2023-10-05,1572
2023-10-06,1423
2023-10-07,1077
2023-10-08,1217
2023-10-09,2239
2023-10-10,1536
2023-10-11,1686
2023-10-12,1498
2023-10-13,1324
2023-10-14,1095
2023-10-15,1097
2023-10-16,1499
2023-10-17,1430
2023-10-18,1520
2023-10-19,1657
2023-10-20,1334
2023-10-21,1041
2023-10-22,1081
2023-10-23,1440
2023-10-24,1598
