0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2037.0,328.0,472.0,1.0,215.0,300.0,527.0,214.0,28.0,221.0,16.0,131.0,1.0,2.0,117.0,2934.0,1787.0,11.0,42.0,1.0,53.0,1.0,623.0,813.0,140.0,32.0,0.0,0.0,0.0,0.0
2150.0,381.0,530.0,1.0,165.0,346.0,542.0,238.0,30.0,290.0,25.0,155.0,3.0,3.0,160.0,2597.0,1853.0,20.0,42.0,3.0,31.0,1.0,683.0,794.0,150.0,42.0,0.0,0.0,0.0,0.0
3001.0,610.0,815.0,1.0,175.0,407.0,562.0,231.0,19.0,338.0,27.0,247.0,3.0,5.0,168.0,2450.0,1798.0,25.0,50.0,0.0,69.0,1.0,719.0,639.0,122.0,51.0,0.0,0.0,0.0,0.0
2533.0,563.0,655.0,1.0,172.0,437.0,538.0,288.0,29.0,391.0,21.0,208.0,4.0,6.0,158.0,2417.0,2002.0,8.0,35.0,0.0,139.0,3.0,665.0,646.0,133.0,63.0,0.0,0.0,0.0,0.0
2246.0,448.0,526.0,0.0,151.0,361.0,496.0,285.0,35.0,304.0,19.0,176.0,1.0,3.0,116.0,2175.0,1930.0,17.0,38.0,0.0,94.0,3.0,606.0,674.0,128.0,45.0,0.0,0.0,0.0,0.0
2042.0,385.0,498.0,3.0,163.0,391.0,514.0,249.0,48.0,330.0,19.0,162.0,3.0,5.0,109.0,2139.0,1818.0,21.0,50.0,2.0,64.0,1.0,650.0,675.0,152.0,58.0,0.0,0.0,0.0,0.0
2025.0,321.0,522.0,3.0,118.0,374.0,512.0,272.0,59.0,266.0,10.0,173.0,1.0,4.0,136.0,1959.0,2860.0,13.0,52.0,1.0,34.0,2.0,625.0,670.0,156.0,50.0,0.0,0.0,0.0,0.0
2473.0,406.0,475.0,0.0,138.0,384.0,572.0,291.0,71.0,283.0,32.0,172.0,6.0,6.0,178.0,2291.0,3091.0,22.0,39.0,0.0,37.0,3.0,879.0,770.0,167.0,56.0,0.0,0.0,0.0,0.0
2168.0,424.0,495.0,0.0,170.0,400.0,525.0,224.0,134.0,358.0,19.0,149.0,3.0,1.0,149.0,1932.0,2646.0,19.0,40.0,4.0,45.0,0.0,887.0,639.0,181.0,87.0,0.0,0.0,0.0,0.0
2034.0,397.0,438.0,3.0,147.0,326.0,562.0,296.0,95.0,372.0,24.0,171.0,4.0,1.0,187.0,1842.0,2680.0,10.0,37.0,1.0,47.0,0.0,694.0,692.0,167.0,92.0,0.0,0.0,0.0,0.0
1961.0,336.0,387.0,4.0,208.0,387.0,602.0,599.0,154.0,356.0,18.0,146.0,2.0,3.0,239.0,2017.0,3162.0,14.0,25.0,0.0,29.0,1.0,679.0,649.0,161.0,92.0,0.0,0.0,0.0,0.0
2018.0,355.0,380.0,1.0,179.0,317.0,608.0,362.0,121.0,330.0,11.0,147.0,0.0,1.0,185.0,1785.0,2250.0,16.0,43.0,2.0,26.0,3.0,551.0,667.0,136.0,84.0,0.0,0.0,0.0,0.0
1840.0,292.0,336.0,1.0,181.0,268.0,625.0,265.0,69.0,292.0,26.0,88.0,1.0,1.0,113.0,1731.0,1931.0,14.0,44.0,0.0,33.0,3.0,547.0,665.0,127.0,63.0,0.0,0.0,0.0,0.0
2131.0,314.0,355.0,0.0,148.0,288.0,528.0,246.0,56.0,226.0,18.0,110.0,1.0,0.0,134.0,1635.0,2453.0,20.0,32.0,1.0,32.0,1.0,514.0,622.0,118.0,48.0,0.0,0.0,0.0,0.0
3443.0,393.0,437.0,0.0,164.0,449.0,639.0,283.0,69.0,310.0,17.0,148.0,5.0,3.0,202.0,2325.0,2325.0,10.0,43.0,3.0,32.0,0.0,589.0,760.0,240.0,90.0,0.0,0.0,0.0,0.0
2727.0,410.0,360.0,2.0,155.0,413.0,574.0,209.0,29.0,348.0,32.0,140.0,1.0,5.0,203.0,1916.0,2087.0,20.0,47.0,1.0,31.0,3.0,669.0,686.0,180.0,85.0,0.0,0.0,0.0,0.0
2111.0,388.0,367.0,1.0,144.0,364.0,676.0,248.0,70.0,330.0,20.0,140.0,5.0,1.0,150.0,1853.0,2067.0,18.0,39.0,2.0,33.0,1.0,779.0,696.0,149.0,77.0,0.0,0.0,0.0,0.0
2431.0,360.0,361.0,1.0,148.0,400.0,664.0,228.0,49.0,394.0,27.0,148.0,10.0,0.0,214.0,1893.0,2013.0,11.0,52.0,0.0,43.0,6.0,614.0,696.0,141.0,85.0,0.0,0.0,0.0,0.0
2031.0,348.0,374.0,0.0,172.0,330.0,579.0,180.0,52.0,390.0,18.0,134.0,11.0,3.0,173.0,1766.0,2143.0,17.0,41.0,0.0,22.0,3.0,648.0,651.0,143.0,51.0,0.0,0.0,0.0,0.0
1946.0,339.0,368.0,0.0,132.0,331.0,613.0,224.0,59.0,320.0,17.0,117.0,18.0,2.0,149.0,1671.0,1853.0,29.0,40.0,1.0,38.0,2.0,605.0,619.0,108.0,43.0,0.0,0.0,0.0,0.0
2743.0,395.0,497.0,2.0,122.0,352.0,535.0,197.0,64.0,231.0,22.0,148.0,22.0,1.0,150.0,1616.0,1908.0,18.0,32.0,0.0,32.0,4.0,612.0,566.0,136.0,34.0,0.0,0.0,0.0,0.0
3102.0,586.0,672.0,0.0,157.0,483.0,722.0,358.0,53.0,307.0,34.0,209.0,15.0,2.0,176.0,2687.0,2401.0,22.0,44.0,4.0,73.0,4.0,761.0,677.0,113.0,55.0,0.0,0.0,0.0,0.0
2447.0,549.0,594.0,0.0,170.0,432.0,754.0,228.0,50.0,385.0,28.0,183.0,15.0,2.0,196.0,2057.0,2922.0,23.0,31.0,3.0,59.0,1.0,711.0,702.0,194.0,53.0,0.0,0.0,0.0,0.0
2272.0,519.0,585.0,1.0,148.0,482.0,853.0,212.0,41.0,341.0,24.0,173.0,19.0,2.0,202.0,1819.0,1976.0,15.0,42.0,3.0,34.0,2.0,634.0,694.0,150.0,51.0,0.0,0.0,0.0,0.0
2236.0,837.0,647.0,4.0,136.0,929.0,796.0,207.0,48.0,339.0,24.0,1179.0,21.0,1.0,180.0,1918.0,1889.0,26.0,34.0,1.0,32.0,4.0,705.0,808.0,166.0,55.0,0.0,0.0,0.0,0.0
2591.0,1539.0,1355.0,3.0,177.0,1245.0,797.0,249.0,38.0,340.0,30.0,1599.0,30.0,4.0,168.0,1860.0,1865.0,18.0,30.0,2.0,44.0,2.0,830.0,778.0,175.0,57.0,0.0,0.0,0.0,0.0
