,links
0,Beverly Sills
1,Abt (Begriffsklärung)
2,Mayer’sche Hofkunstanstalt
3,MTV Video Music Awards/Best Female Video
4,Lew Del Gatto
5,Herb Wallerstein
6,MTV Video Music Awards 2023
7,Rundfunkjahr 1977
8,St. Lucie Mets
9,IC 298
10,Long Island Rail Road
11,Elevance Health
12,Liste der ehemaligen Oberleitungsbussysteme
13,Crooklyn Clan
14,1837
15,"Those Who Tell the Truth Shall Die, Those Who Tell the Truth Shall Live Forever"
16,Liste der Nummer-eins-Hits in den Hot 100 Airplay (2003)
17,Arp 151
18,Hollis Alpert
19,Tony Inzalaco
20,Joe Esposito (Sänger)
21,Julianne Moore
22,Wendy Sherman
23,Conrad Voelcker
24,Fire of Love (Dokumentarfilm)
25,Marisa Tomei
26,Morello-Familie
27,BET Award for Viewer’s Choice
28,Rajzel Zychlinski
29,Matt Munisteri
30,Frederik Pohl
31,Linofilm
32,When We Rise
33,Plant City
34,Die Asche meiner Mutter (Film)
35,Rhinebeck Village Historic District
36,A Beautiful Day
37,Sheldon Leslie Stone
38,Romanische Studien (Zeitschrift)
39,Egon Mayer (Soziologe)
40,Holly Herndon
41,Patty Smyth
42,Buddy Adler
43,The Clock That Went Backward
44,Mike Moreno
45,Let’s Dance/Staffel 16
46,Fadil-Vokrri-Stadion
47,Rock Paper Scissors Tour
48,Vincent John Baldwin
49,32. Gotham Independent Film Awards
50,RZA (Rapper)
51,Alexander Davis
52,Liste der JJA-Awards-Sieger der 2000er Jahre
53,Alexander Giampietro
54,Center Hill (Florida)
55,Brooklyn Baby
56,NSFC-Award
57,Durag
58,Herbert Friedmann (Ornithologe)
59,Die Chance seines Lebens
60,Bob Adelman
61,Bronx
62,Norman Gimbel
63,Evan Seinfeld
64,The Long and Short of It
65,Pine Manor
66,Alice Kober
67,Helen Levitt
68,Carla Gallo
69,Frank Costello
70,Frederick Bedell
71,UGC 224
72,Minor League Baseball
73,Joshua Breakstone
74,Rap
75,Patsy Kelly
76,Murphy Oil
77,President Lincoln
78,Das Hotel
79,Margaret Sanger
80,The Masked Singer (Vereinigte Staaten)/Staffel 5
81,CBRE Group
82,Mumblecore
83,Carol Weymuller Open 2016
84,Lucius B. Darling
85,Carol Weymuller Open 2014
86,Elizabeth Holtzman
87,Henry Mark
88,White Springs
89,NGC 1961
90,Robert Foster (Schriftsteller)
91,Börsengehandelter Fonds
92,Kronos Quartet
93,Ocean Breeze (Florida)
94,Ed Sheeran/Diskografie
95,Paul Desmond
96,Port Authority of New York and New Jersey
97,Joey Giardello
