0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
20.0,41.0,2667.0,31.0,84.0,44.0,519.0,6010.0,22.0,560.0,3018.0,71.0,525.0,5.0,52.0,1100.0,6.0,123.0,2776.0,197.0,67.0,1030.0,1516.0,445.0,29.0,4.0,414.0,149.0,99.0,31.0
19.0,25.0,3477.0,30.0,78.0,34.0,488.0,6379.0,23.0,577.0,3420.0,68.0,502.0,9.0,64.0,1079.0,6.0,222.0,2719.0,207.0,113.0,919.0,1220.0,392.0,34.0,9.0,438.0,175.0,115.0,41.0
27.0,41.0,2631.0,25.0,72.0,70.0,424.0,5592.0,27.0,674.0,3313.0,76.0,505.0,8.0,63.0,1256.0,1.0,214.0,2450.0,1390.0,120.0,918.0,1127.0,367.0,36.0,11.0,384.0,203.0,109.0,44.0
18.0,25.0,2605.0,57.0,103.0,46.0,505.0,6293.0,31.0,640.0,3790.0,85.0,477.0,4.0,71.0,3167.0,1.0,204.0,2454.0,2490.0,122.0,1237.0,1598.0,431.0,37.0,8.0,416.0,157.0,81.0,42.0
26.0,47.0,2524.0,70.0,66.0,68.0,466.0,5784.0,35.0,801.0,3439.0,89.0,534.0,7.0,71.0,1821.0,6.0,205.0,2465.0,1771.0,150.0,1200.0,1360.0,380.0,57.0,4.0,369.0,150.0,94.0,50.0
11.0,27.0,2546.0,40.0,117.0,49.0,529.0,6366.0,23.0,656.0,3186.0,65.0,684.0,9.0,79.0,1494.0,2.0,188.0,2517.0,1368.0,98.0,1085.0,2335.0,535.0,37.0,4.0,412.0,160.0,96.0,31.0
13.0,28.0,2547.0,39.0,67.0,52.0,598.0,6387.0,23.0,707.0,3231.0,82.0,501.0,9.0,57.0,1255.0,7.0,158.0,2452.0,2310.0,99.0,1209.0,2210.0,481.0,20.0,4.0,354.0,175.0,83.0,33.0
22.0,34.0,3318.0,42.0,105.0,73.0,635.0,7006.0,32.0,695.0,3750.0,87.0,652.0,2.0,60.0,1398.0,5.0,220.0,2827.0,715.0,72.0,1137.0,1780.0,565.0,26.0,4.0,351.0,189.0,81.0,37.0
14.0,27.0,2866.0,31.0,77.0,62.0,507.0,6419.0,19.0,631.0,4418.0,64.0,593.0,9.0,64.0,1557.0,8.0,285.0,2683.0,425.0,214.0,1042.0,1392.0,407.0,28.0,12.0,324.0,207.0,83.0,27.0
26.0,32.0,2892.0,33.0,79.0,50.0,453.0,6197.0,22.0,627.0,3770.0,78.0,488.0,7.0,61.0,1354.0,6.0,314.0,2629.0,295.0,239.0,1107.0,1348.0,415.0,23.0,2.0,418.0,196.0,86.0,14.0
14.0,34.0,2721.0,33.0,81.0,53.0,431.0,5971.0,32.0,620.0,3729.0,132.0,476.0,5.0,72.0,1509.0,13.0,332.0,2683.0,330.0,215.0,897.0,1263.0,399.0,31.0,7.0,390.0,193.0,90.0,24.0
38.0,24.0,2648.0,30.0,69.0,36.0,458.0,5887.0,28.0,615.0,3591.0,64.0,522.0,5.0,59.0,1437.0,5.0,260.0,2833.0,310.0,316.0,1002.0,1342.0,342.0,22.0,9.0,356.0,171.0,85.0,19.0
24.0,42.0,2566.0,22.0,76.0,57.0,439.0,6008.0,17.0,579.0,3472.0,60.0,439.0,5.0,57.0,1221.0,3.0,242.0,2481.0,212.0,212.0,970.0,1299.0,377.0,24.0,6.0,414.0,208.0,83.0,26.0
27.0,20.0,2507.0,25.0,102.0,104.0,472.0,6155.0,29.0,515.0,3213.0,54.0,527.0,3.0,54.0,1320.0,6.0,202.0,2357.0,240.0,117.0,936.0,1255.0,440.0,16.0,8.0,349.0,152.0,72.0,23.0
38.0,36.0,3703.0,59.0,77.0,73.0,676.0,6995.0,22.0,623.0,3283.0,64.0,581.0,5.0,64.0,1451.0,3.0,255.0,2561.0,267.0,112.0,1153.0,1588.0,532.0,26.0,8.0,407.0,227.0,75.0,32.0
36.0,33.0,2852.0,44.0,106.0,58.0,551.0,6110.0,32.0,570.0,3564.0,62.0,531.0,4.0,62.0,1398.0,3.0,296.0,2503.0,283.0,216.0,996.0,1238.0,397.0,25.0,7.0,385.0,168.0,71.0,31.0
