Kategorie: Alle Kategorien

Tag,Bonn: (Deutschland)
2023-07-25,72
2023-07-26,86
2023-07-27,82
2023-07-28,72
2023-07-29,79
2023-07-30,68
2023-07-31,83
2023-08-01,84
2023-08-02,91
2023-08-03,90
2023-08-04,87
2023-08-05,79
2023-08-06,77
2023-08-07,87
2023-08-08,79
2023-08-09,83
2023-08-10,86
2023-08-11,88
2023-08-12,84
2023-08-13,77
2023-08-14,89
2023-08-15,85
2023-08-16,85
2023-08-17,88
2023-08-18,82
2023-08-19,75
2023-08-20,67
2023-08-21,71
2023-08-22,82
2023-08-23,82
2023-08-24,87
2023-08-25,84
2023-08-26,67
2023-08-27,67
2023-08-28,79
2023-08-29,80
2023-08-30,80
2023-08-31,81
2023-09-01,89
2023-09-02,75
2023-09-03,67
2023-09-04,75
2023-09-05,82
2023-09-06,80
2023-09-07,79
2023-09-08,75
2023-09-09,72
2023-09-10,68
2023-09-11,83
2023-09-12,85
2023-09-13,72
2023-09-14,77
2023-09-15,71
2023-09-16,71
2023-09-17,66
2023-09-18,77
2023-09-19,73
2023-09-20,72
2023-09-21,76
2023-09-22,71
2023-09-23,66
2023-09-24,63
2023-09-25,76
2023-09-26,74
2023-09-27,76
2023-09-28,78
2023-09-29,78
2023-09-30,68
2023-10-01,69
2023-10-02,79
2023-10-03,68
2023-10-04,78
2023-10-05,76
2023-10-06,70
2023-10-07,61
2023-10-08,57
2023-10-09,100
2023-10-10,84
2023-10-11,74
2023-10-12,70
2023-10-13,72
2023-10-14,66
2023-10-15,63
2023-10-16,76
2023-10-17,77
2023-10-18,74
2023-10-19,78
2023-10-20,80
2023-10-21,67
