Date,"Bonn"
2023-07-26,959
2023-07-27,965
2023-07-28,1016
2023-07-29,934
2023-07-30,1102
2023-07-31,1003
2023-08-01,1044
2023-08-02,925
2023-08-03,1193
2023-08-04,1131
2023-08-05,1010
2023-08-06,1004
2023-08-07,926
2023-08-08,930
2023-08-09,995
2023-08-10,903
2023-08-11,935
2023-08-12,1037
2023-08-13,1343
2023-08-14,1021
2023-08-15,968
2023-08-16,988
2023-08-17,1033
2023-08-18,892
2023-08-19,918
2023-08-20,968
2023-08-21,946
2023-08-22,981
2023-08-23,959
2023-08-24,925
2023-08-25,912
2023-08-26,894
2023-08-27,948
2023-08-28,998
2023-08-29,916
2023-08-30,944
2023-08-31,871
2023-09-01,984
2023-09-02,870
2023-09-03,930
2023-09-04,840
2023-09-05,834
2023-09-06,799
2023-09-07,766
2023-09-08,855
2023-09-09,850
2023-09-10,831
2023-09-11,874
2023-09-12,928
2023-09-13,834
2023-09-14,928
2023-09-15,877
2023-09-16,826
2023-09-17,917
2023-09-18,953
2023-09-19,903
2023-09-20,878
2023-09-21,858
2023-09-22,866
2023-09-23,852
2023-09-24,873
2023-09-25,890
2023-09-26,895
2023-09-27,826
2023-09-28,840
2023-09-29,914
2023-09-30,934
2023-10-01,1030
2023-10-02,938
2023-10-03,1233
2023-10-04,928
2023-10-05,999
2023-10-06,904
2023-10-07,905
2023-10-08,869
2023-10-09,825
2023-10-10,864
2023-10-11,866
2023-10-12,843
2023-10-13,799
2023-10-14,846
2023-10-15,909
2023-10-16,887
2023-10-17,903
2023-10-18,994
2023-10-19,949
2023-10-20,930
2023-10-21,881
2023-10-22,1054
2023-10-23,1004
2023-10-24,928
