Date,"Hunde"
2023-07-26,362
2023-07-27,306
2023-07-28,342
2023-07-29,346
2023-07-30,339
2023-07-31,329
2023-08-01,337
2023-08-02,317
2023-08-03,343
2023-08-04,296
2023-08-05,314
2023-08-06,376
2023-08-07,315
2023-08-08,358
2023-08-09,373
2023-08-10,339
2023-08-11,438
2023-08-12,307
2023-08-13,298
2023-08-14,300
2023-08-15,329
2023-08-16,325
2023-08-17,376
2023-08-18,317
2023-08-19,295
2023-08-20,318
2023-08-21,348
2023-08-22,314
2023-08-23,314
2023-08-24,373
2023-08-25,358
2023-08-26,296
2023-08-27,364
2023-08-28,369
2023-08-29,425
2023-08-30,329
2023-08-31,382
2023-09-01,350
2023-09-02,298
2023-09-03,331
2023-09-04,409
2023-09-05,377
2023-09-06,360
2023-09-07,373
2023-09-08,356
2023-09-09,283
2023-09-10,329
2023-09-11,424
2023-09-12,402
2023-09-13,328
2023-09-14,380
2023-09-15,377
2023-09-16,315
2023-09-17,395
2023-09-18,472
2023-09-19,433
2023-09-20,417
2023-09-21,519
2023-09-22,467
2023-09-23,342
2023-09-24,407
2023-09-25,445
2023-09-26,490
2023-09-27,421
2023-09-28,431
2023-09-29,505
2023-09-30,393
2023-10-01,372
2023-10-02,407
2023-10-03,445
2023-10-04,456
2023-10-05,412
2023-10-06,418
2023-10-07,364
2023-10-08,477
2023-10-09,439
2023-10-10,461
2023-10-11,452
2023-10-12,444
2023-10-13,464
2023-10-14,453
2023-10-15,381
2023-10-16,457
2023-10-17,476
2023-10-18,450
2023-10-19,419
2023-10-20,426
2023-10-21,379
2023-10-22,399
2023-10-23,450
2023-10-24,569
