Kategorie: Alle Kategorien

Tag,2. Weltkrieg: (Deutschland)
2023-07-25,68
2023-07-26,66
2023-07-27,65
2023-07-28,59
2023-07-29,71
2023-07-30,63
2023-07-31,53
2023-08-01,56
2023-08-02,44
2023-08-03,59
2023-08-04,56
2023-08-05,84
2023-08-06,76
2023-08-07,52
2023-08-08,57
2023-08-09,39
2023-08-10,69
2023-08-11,59
2023-08-12,80
2023-08-13,74
2023-08-14,64
2023-08-15,67
2023-08-16,71
2023-08-17,72
2023-08-18,61
2023-08-19,52
2023-08-20,81
2023-08-21,65
2023-08-22,56
2023-08-23,68
2023-08-24,64
2023-08-25,73
2023-08-26,60
2023-08-27,68
2023-08-28,59
2023-08-29,68
2023-08-30,70
2023-08-31,60
2023-09-01,96
2023-09-02,67
2023-09-03,71
2023-09-04,69
2023-09-05,57
2023-09-06,60
2023-09-07,67
2023-09-08,66
2023-09-09,58
2023-09-10,58
2023-09-11,65
2023-09-12,54
2023-09-13,66
2023-09-14,59
2023-09-15,49
2023-09-16,61
2023-09-17,59
2023-09-18,62
2023-09-19,73
2023-09-20,57
2023-09-21,75
2023-09-22,55
2023-09-23,59
2023-09-24,87
2023-09-25,93
2023-09-26,60
2023-09-27,79
2023-09-28,53
2023-09-29,55
2023-09-30,78
2023-10-01,99
2023-10-02,76
2023-10-03,100
2023-10-04,53
2023-10-05,58
2023-10-06,63
2023-10-07,57
2023-10-08,61
2023-10-09,55
2023-10-10,61
2023-10-11,62
2023-10-12,67
2023-10-13,59
2023-10-14,66
2023-10-15,79
2023-10-16,77
2023-10-17,81
2023-10-18,84
2023-10-19,62
2023-10-20,50
2023-10-21,64
