Date,"Zweiter Weltkrieg"
2023-07-26,2717
2023-07-27,2616
2023-07-28,2485
2023-07-29,2377
2023-07-30,3394
2023-07-31,2848
2023-08-01,2861
2023-08-02,2774
2023-08-03,2497
2023-08-04,2582
2023-08-05,2500
2023-08-06,3551
2023-08-07,3145
2023-08-08,2765
2023-08-09,2674
2023-08-10,2509
2023-08-11,2304
2023-08-12,2237
2023-08-13,2650
2023-08-14,2529
2023-08-15,2647
2023-08-16,2608
2023-08-17,2559
2023-08-18,2280
2023-08-19,2145
2023-08-20,2369
2023-08-21,2635
2023-08-22,2749
2023-08-23,2564
2023-08-24,2445
2023-08-25,2581
2023-08-26,2183
2023-08-27,2593
2023-08-28,2610
2023-08-29,2733
2023-08-30,2575
2023-08-31,2709
2023-09-01,4076
2023-09-02,2485
2023-09-03,2428
2023-09-04,2323
2023-09-05,2551
2023-09-06,2474
2023-09-07,2445
2023-09-08,2530
2023-09-09,2099
2023-09-10,2333
2023-09-11,2617
2023-09-12,2618
2023-09-13,2529
2023-09-14,2652
2023-09-15,2381
2023-09-16,1894
2023-09-17,2378
2023-09-18,3093
2023-09-19,2755
2023-09-20,2578
2023-09-21,2581
2023-09-22,2588
2023-09-23,2092
2023-09-24,2278
2023-09-25,2701
2023-09-26,2618
2023-09-27,2441
2023-09-28,2458
2023-09-29,2404
2023-09-30,2184
2023-10-01,2900
2023-10-02,2468
2023-10-03,2787
2023-10-04,2639
2023-10-05,2360
2023-10-06,2288
2023-10-07,2266
2023-10-08,2407
2023-10-09,2647
2023-10-10,2466
2023-10-11,2413
2023-10-12,2621
2023-10-13,2442
2023-10-14,2150
2023-10-15,2543
2023-10-16,2468
2023-10-17,2522
2023-10-18,2697
2023-10-19,2664
2023-10-20,2531
2023-10-21,2401
2023-10-22,2580
2023-10-23,2743
2023-10-24,2582
